sample	lineage
KC344432.1	A
AF075252.1	A
KR260737.1	A
KC344439.1	A
MK028848.1	A
AF075251.1	A
KC344476.1	A
KC344472.1	A.3
KC344458.1	A.2.4
KC344444.1	A.2
KC344433.1	A
KC344446.1	A
KC344457.1	A
KC344473.2	A.3
L00930.1	A.3
KC344507.2	A.3
MK796243.1	A.2.4.0
KC344441.1	A.2.4.0
MK028849.1	A.2.5
U34999.1	A.2.5
KC344527.1	A.2.3
KC344466.1	A.2
KC344448.1	A.4.1
KC344445.1	A.4.1
KC344431.1	A.4
KC344503.2	A.3
KC344506.1	A.3.2
MF590066.1	A.3
KC344430.1	A.0.8
KU059753.1	A.0.8
KC344528.1	A.0
U55342.2	A.0
KC344442.1	A.2.2.1
KC344455.1	A.2.2.1
KC344443.1	A.2.2.0
KC344456.1	A.2.2.0
KC344436.1	A.2.1.1
KC344454.1	A.2.1.1
KC344435.1	A.2.1
KC344437.1	A.2.3
AF448537.1	A.2
KC344440.1	A.4.0
KC344447.1	A.4.0
KC344529.1	A
KC344463.1	A
KC344510.1	A.3.1
KC344488.2	A.3.2
KC344526.1	A.3.0
L01442.2	A.0.7
J04332.1	A.0.7
KJ410017.1	A.0
U55345.2	A.0
KC344519.1	A.0.6
KC344477.1	A.0.6
KC344467.1	A.2.1.0
KC344434.1	A.2.1.0
AF448539.1	A.2.3.0
KC344438.1	A.2.3.0
KC344515.1	A.2
KC344530.1	A
KC344531.1	A
KC344449.1	A.1
KC344511.1	A.3.1
KC344471.1	A.3.2.0
KC344518.1	A.3.2.0
KC344490.1	A.3.0
KC344516.1	A.0
L04653.1	A.0.2
AF375051.1	A.0.2
KC344484.1	A.0.5
MK028850.1	A.0.5
KC344481.1	A.1
KC344451.1	A.1
KC344474.1	A.3.1.0
KC344475.1	A.3.1.0
DQ390224.2	A.3.0.0
KC344504.2	A.3.0.0
KR260736.1	A.0.1
KC344485.2	A.0.1
KC344512.1	A.0.2
KC344522.1	A.0.4
AF448538.1	A.2.0
AY823299.1	A.2.0
KC344468.1	A.1
KC344480.1	A.1
KC344486.1	A.0.4.0
KC344525.1	A.0.4.0
KC344520.1	A.0.3
KC344502.1	A.0
AF448535.1	A.2.0.1
AF448536.1	A.2.0.1
KC344465.1	A.2.0.0
KC344494.1	A.1.2
KC344489.1	A.1.2
KC344495.1	A.1.2
KC344453.1	A.1.1
KC344450.1	A.1.0
KC344493.1	A.1.0
KU978806.1	A.0.1.1
KF985959.1	A.0.2.0.1
U55350.2	A.0.2.0.1
KP282671.1	A.0.2.0.0
U55347.2	A.0.2.0.0
KC344487.1	A.0.3.0
KC344514.1	A.0.3.0
KC344464.1	A.2.0.0.0
KC344482.1	A.2.0.0.0
KC344479.1	A.1.1
KC344499.1	A.1.0
KC344469.1	A.1.0.1
KC344496.1	A.1.0.1
KU059754.1	A.0.1.1.0
KU059755.1	A.0.1.1.0
KC344505.2	A.0.1.0.1
AF069903.1	A.0.1.0.1
KC344517.1	A.0.1.0
AY973944.1	A.0.2.0.0.0
AY986475.1	A.0.2.0.0.0
KC344521.1	A.0.0
KC344508.1	A.0.0
KC344452.1	A.1.1.0
KC344478.1	A.1.1.0
KC344500.1	A.1.0.0
KC344491.1	A.1.0.0
KC344470.1	A.1.0.0
KC344501.1	A.1.0.0
KC344492.1	A.1.0.1
KC344483.2	A.0.1.0.0
KU059756.1	A.0.1.0.0
KC344461.2	A.0.0
KC344509.1	A.0.0
KC344497.1	A.1.0.1.0
KC344498.1	A.1.0.1.0
KC344523.1	A.0.0
U55362.2	A.0.0
KC344429.1	A.0.0.1
KC344462.1	A.0.0.1
AF004458.2	A.0.0.0
KC344460.1	A.0.0.1.0
KC344459.1	A.0.0.1.0
AF004459.2	A.0.0.0.1
U55360.2	A.0.0.0.1
KC344513.1	A.0.0.0.0
MF459684.1	A.0.0.0.0
AF100566.1	A.0.0.0.0
AF075255.1	B
MW809725.1	B.2
AF075254.1	B.2
MK028853.1	B.1
MH086244.1	B
MF993533.1	B.1.0
AF075253.1	B.1.0
MH086246.1	B
MH086245.1	B.0.1
MH086248.1	B.0.1
MH086247.1	B.0.0
MH086249.1	B.0.0
